id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
9926	"tyler t.r., blader s.l., the group engagement model: procedural justice, social identity, and cooperative behavior, personality and social psychology review, 7, 4, pp. 349-361, (2003)"	1.1458	-0.0019	1	80	399	3
9932	"tyler t.r., the psychology of procedural justice: a test of the group-value model, journal of personality and social psychology, 57, 5, pp. 830-838, (1989)"	1.147	0.0011	1	80	399	3
10130	"venaik s., brewer p., avoiding uncertainty in hofstede and globe, journal of international business studies, 41, 8, pp. 1294-1315, (2010)"	-0.7807	0.0171	2	16	16	3
10131	"venaik s., brewer p., avoiding uncertainty in hofstede and globe, journal of international business studies, 41, pp. 1294-1315, (2010)"	-0.7658	-0.0026	2	16	22	6
10198	"visser-wijnveen g., stes a., van petegem p., development and validation of a questionnaire measuring teachers' motivations for teaching in higher education, higher education, 64, 3, pp. 421-436, (2012)"	1.1398	0.0031	1	80	399	3
10201	"viswesvaran c., ones d.s., examining the construct of organizational justice: a metaanalytic evaluation of relations with work attitudes and behavior, journal of business ethics, 38, pp. 193-203, (2002)"	1.1461	0.0117	1	80	399	3
10484	"whetten d., cameron s., developing management skills, (2011)"	1.159	-0.0012	1	80	399	3
10520	"wikhamn w., hall a.t., social exchange in a swedish work environment, international journal of business and social science, 3, 23, (2012)"	1.1483	-0.0059	1	80	399	3
10542	"williams s., pitre r., zainuba m., justice and organizational citizenship behavior intentions: fair rewards versus fair treatment, the journal of social psychology, 142, 1, pp. 33-44, (2002)"	1.1373	0.0029	1	80	399	3
10811	"yoon c., the effects of national culture values on consumer acceptance of e-commerce: online shoppers in china, information & management, 46, 5, pp. 294-301, (2009)"	-0.9017	-0.0019	5	7	9	3
